cdp,cdpx,cdpy
779,119.877645,22.65238
780,119.8776675,22.65236125
781,119.87769,22.6523425
782,119.8777125,22.65232375
783,119.877735,22.652305
784,119.8777575,22.65228625
785,119.87778,22.6522675
786,119.8778025,22.65224875
787,119.877825,22.65223
788,119.8778475,22.652211625
789,119.87787,22.65219325
790,119.8778925,22.652174875
791,119.877915,22.6521565
792,119.8779375,22.652138125
793,119.87796,22.65211975
794,119.8779825,22.652101375
795,119.878005,22.652083
796,119.878027875,22.6520655
797,119.87805075,22.652048
798,119.878073625,22.6520305
799,119.8780965,22.652013
800,119.878119375,22.6519955
801,119.87814225,22.651978
802,119.878165125,22.6519605
803,119.878188,22.651943
804,119.878210375,22.651923625
805,119.87823275,22.65190425
806,119.878255125,22.651884875
807,119.8782775,22.6518655
808,119.878299875,22.651846125
809,119.87832225,22.65182675
810,119.878344625,22.651807375
811,119.878367,22.651788
812,119.878388375,22.651771375
813,119.87840975,22.65175475
814,119.878431125,22.651738125
815,119.8784525,22.6517215
816,119.878473875,22.651704875
817,119.87849525,22.65168825
818,119.878516625,22.651671625
819,119.878538,22.651655
820,119.878561625,22.65163725
821,119.87858525,22.6516195
822,119.878608875,22.65160175
823,119.8786325,22.651584
824,119.878656125,22.65156625
825,119.87867975,22.6515485
826,119.878703375,22.65153075
827,119.878727,22.651513
828,119.878751375,22.651494875
829,119.87877575,22.65147675
830,119.878800125,22.651458625
831,119.8788245,22.6514405
832,119.878848875,22.651422375
833,119.87887325,22.65140425
834,119.878897625,22.651386125
835,119.878922,22.651368
836,119.878946125,22.651351
837,119.87897025,22.651334
838,119.878994375,22.651317
839,119.8790185,22.6513
840,119.879042625,22.651283
841,119.87906675,22.651266
842,119.879090875,22.651249
843,119.879115,22.651232
844,119.8791365,22.6512155
845,119.879158,22.651199
846,119.8791795,22.6511825
847,119.879201,22.651166
848,119.8792225,22.6511495
849,119.879244,22.651133
850,119.8792655,22.6511165
851,119.879287,22.6511
852,119.879309875,22.651083375
853,119.87933275,22.65106675
854,119.879355625,22.651050125
855,119.8793785,22.6510335
856,119.879401375,22.651016875
857,119.87942425,22.65100025
858,119.879447125,22.650983625
859,119.87947,22.650967
860,119.879494375,22.6509495
861,119.87951875,22.650932
862,119.879543125,22.6509145
863,119.8795675,22.650897
864,119.879591875,22.6508795
865,119.87961625,22.650862
866,119.879640625,22.6508445
867,119.879665,22.650827
868,119.879687125,22.650808875
869,119.87970925,22.65079075
870,119.879731375,22.650772625
871,119.8797535,22.6507545
872,119.879775625,22.650736375
873,119.87979775,22.65071825
874,119.879819875,22.650700125
875,119.879842,22.650682
876,119.87986575,22.650663875
877,119.8798895,22.65064575
878,119.87991325,22.650627625
879,119.879937,22.6506095
880,119.87996075,22.650591375
881,119.8799845,22.65057325
882,119.88000825,22.650555125
883,119.880032,22.650537
884,119.880054625,22.65051825
885,119.88007725,22.6504995
886,119.880099875,22.65048075
887,119.8801225,22.650462
888,119.880145125,22.65044325
889,119.88016775,22.6504245
890,119.880190375,22.65040575
891,119.880213,22.650387
892,119.880235125,22.650369
893,119.88025725,22.650351
894,119.880279375,22.650333
895,119.8803015,22.650315
896,119.880323625,22.650297
897,119.88034575,22.650279
898,119.880367875,22.650261
899,119.88039,22.650243
900,119.880415,22.650226625
901,119.88044,22.65021025
902,119.880465,22.650193875
903,119.88049,22.6501775
904,119.880515,22.650161125
905,119.88054,22.65014475
906,119.880565,22.650128375
907,119.88059,22.650112
908,119.88061375,22.650093625
909,119.8806375,22.65007525
910,119.88066125,22.650056875
911,119.880685,22.6500385
912,119.88070875,22.650020125
913,119.8807325,22.65000175
914,119.88075625,22.649983375
915,119.88078,22.649965
916,119.8808025,22.649947875
917,119.880825,22.64993075
918,119.8808475,22.649913625
919,119.88087,22.6498965
920,119.8808925,22.649879375
921,119.880915,22.64986225
922,119.8809375,22.649845125
923,119.88096,22.649828
924,119.880983125,22.649810125
925,119.88100625,22.64979225
926,119.881029375,22.649774375
927,119.8810525,22.6497565
928,119.881075625,22.649738625
929,119.88109875,22.64972075
930,119.881121875,22.649702875
931,119.881145,22.649685
932,119.88117025,22.64966625
933,119.8811955,22.6496475
934,119.88122075,22.64962875
935,119.881246,22.64961
936,119.88127125,22.64959125
937,119.8812965,22.6495725
938,119.88132175,22.64955375
939,119.881347,22.649535
940,119.88137025,22.649519375
941,119.8813935,22.64950375
942,119.88141675,22.649488125
943,119.88144,22.6494725
944,119.88146325,22.649456875
945,119.8814865,22.64944125
946,119.88150975,22.649425625
947,119.881533,22.64941
948,119.881556625,22.649392125
949,119.88158025,22.64937425
950,119.881603875,22.649356375
951,119.8816275,22.6493385
952,119.881651125,22.649320625
953,119.88167475,22.64930275
954,119.881698375,22.649284875
955,119.881722,22.649267
956,119.88174575,22.649249
957,119.8817695,22.649231
958,119.88179325,22.649213
959,119.881817,22.649195
960,119.88184075,22.649177
961,119.8818645,22.649159
962,119.88188825,22.649141
963,119.881912,22.649123
964,119.8819355,22.649105375
965,119.881959,22.64908775
966,119.8819825,22.649070125
967,119.882006,22.6490525
968,119.8820295,22.649034875
969,119.882053,22.64901725
970,119.8820765,22.648999625
971,119.8821,22.648982
972,119.882123125,22.648963625
973,119.88214625,22.64894525
974,119.882169375,22.648926875
975,119.8821925,22.6489085
976,119.882215625,22.648890125
977,119.88223875,22.64887175
978,119.882261875,22.648853375
979,119.882285,22.648835
980,119.882310625,22.64881975
981,119.88233625,22.6488045
982,119.882361875,22.64878925
983,119.8823875,22.648774
984,119.882413125,22.64875875
985,119.88243875,22.6487435
986,119.882464375,22.64872825
987,119.88249,22.648713
988,119.88251225,22.648695375
989,119.8825345,22.64867775
990,119.88255675,22.648660125
991,119.882579,22.6486425
992,119.88260125,22.648624875
993,119.8826235,22.64860725
994,119.88264575,22.648589625
995,119.882668,22.648572
996,119.882692625,22.64855275
997,119.88271725,22.6485335
998,119.882741875,22.64851425
999,119.8827665,22.648495
1000,119.882791125,22.64847575
1001,119.88281575,22.6484565
1002,119.882840375,22.64843725
1003,119.882865,22.648418
1004,119.88288725,22.648400125
1005,119.8829095,22.64838225
1006,119.88293175,22.648364375
1007,119.882954,22.6483465
1008,119.88297625,22.648328625
1009,119.8829985,22.64831075
1010,119.88302075,22.648292875
1011,119.883043,22.648275
1012,119.883068,22.64825625
1013,119.883093,22.6482375
1014,119.883118,22.64821875
1015,119.883143,22.6482
1016,119.883168,22.64818125
1017,119.883193,22.6481625
1018,119.883218,22.64814375
1019,119.883243,22.648125
1020,119.883263625,22.648109
1021,119.88328425,22.648093
1022,119.883304875,22.648077
1023,119.8833255,22.648061
1024,119.883346125,22.648045
1025,119.88336675,22.648029
1026,119.883387375,22.648013
1027,119.883408,22.647997
1028,119.88343225,22.647978375
1029,119.8834565,22.64795975
1030,119.88348075,22.647941125
1031,119.883505,22.6479225
